,recording_mbid,genres
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,country
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,americana
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,americana
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,alternative country
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,red dirt
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,easy listening
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,contemporary country
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,alternative country
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,country
0,010e7b4d-9e25-45c6-aaaa-d259f7007e99,country pop
1,0133e675-b38f-4d23-854c-4a331f06214b,2010s
1,0133e675-b38f-4d23-854c-4a331f06214b,pop screamo
1,0133e675-b38f-4d23-854c-4a331f06214b,millennial
1,0133e675-b38f-4d23-854c-4a331f06214b,post-hardcore
1,0133e675-b38f-4d23-854c-4a331f06214b,melodic hardcore
1,0133e675-b38f-4d23-854c-4a331f06214b,easycore
1,0133e675-b38f-4d23-854c-4a331f06214b,rock
1,0133e675-b38f-4d23-854c-4a331f06214b,2020s
2,014b41c6-8eb1-4268-936d-72897468f061,metalcore
2,014b41c6-8eb1-4268-936d-72897468f061,emo pop
2,014b41c6-8eb1-4268-936d-72897468f061,alternative rock
2,014b41c6-8eb1-4268-936d-72897468f061,post-hardcore
2,014b41c6-8eb1-4268-936d-72897468f061,pop punk
2,014b41c6-8eb1-4268-936d-72897468f061,acoustic
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,country
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,art pop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,indie pop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,2010s
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,pop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,electropop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,female vocalists
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,indie
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,rock
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,pop rock
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,synth-pop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,alternative r&b
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,contemporary r&b
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,alternative rock
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,2020s
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,alternative pop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,alternative
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,dance
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,hip hop
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,queer
3,01552e9a-11b0-4b5d-bcd5-cd15850ebd29,female vocals
4,01891a66-c613-482b-869d-f1043acc804e,
5,01fa230d-38c8-45f9-9cca-68afc41bdfcb,hard rock
5,01fa230d-38c8-45f9-9cca-68afc41bdfcb,alternative rock
6,020630c0-978b-4b5c-9e91-ccc2e5227df1,experimental rock
6,020630c0-978b-4b5c-9e91-ccc2e5227df1,post-hardcore
7,02759489-c74f-4000-9c9f-8355feb2e65e,
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,alternative metal
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,progressive rock
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,art pop
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,alternative r&b
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,djent
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,progressive metal
8,028503bf-8ebc-4ffb-80f7-6ef8e92fa085,alternative pop
9,028fbea0-6994-483c-8f03-4fa3b3acc70a,
10,02bfc4e8-4a7c-4ba1-a1d5-1c7cd8f97b36,alternative rock
10,02bfc4e8-4a7c-4ba1-a1d5-1c7cd8f97b36,tumblr
10,02bfc4e8-4a7c-4ba1-a1d5-1c7cd8f97b36,indie pop
11,02dca35c-af77-44ea-8045-547d671db8e5,alternative rock
11,02dca35c-af77-44ea-8045-547d671db8e5,hard rock
11,02dca35c-af77-44ea-8045-547d671db8e5,rock
12,02f7121f-0b5e-4920-bd2b-04065c0754dd,pop
12,02f7121f-0b5e-4920-bd2b-04065c0754dd,folk pop
13,0389942c-b4a1-4cad-81cd-4e74de72236d,math rock
13,0389942c-b4a1-4cad-81cd-4e74de72236d,experimental
13,0389942c-b4a1-4cad-81cd-4e74de72236d,swancore
13,0389942c-b4a1-4cad-81cd-4e74de72236d,metalcore
13,0389942c-b4a1-4cad-81cd-4e74de72236d,hardcore
13,0389942c-b4a1-4cad-81cd-4e74de72236d,alternative/indie rock
13,0389942c-b4a1-4cad-81cd-4e74de72236d,emocore
13,0389942c-b4a1-4cad-81cd-4e74de72236d,progressive rock
13,0389942c-b4a1-4cad-81cd-4e74de72236d,pop
13,0389942c-b4a1-4cad-81cd-4e74de72236d,rock
13,0389942c-b4a1-4cad-81cd-4e74de72236d,post-hardcore
13,0389942c-b4a1-4cad-81cd-4e74de72236d,experimental rock
13,0389942c-b4a1-4cad-81cd-4e74de72236d,screamo
13,0389942c-b4a1-4cad-81cd-4e74de72236d,emo
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,alternative/indie rock
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,rock
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,pop
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,emo
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,screamo
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,math rock
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,experimental
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,metalcore
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,progressive rock
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,hardcore
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,swancore
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,experimental rock
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,post-hardcore
14,03b2b1e5-4ddf-4170-afa5-497ec49f9090,emocore
15,03dc4e02-e416-4611-8a2f-6c91b3d6c06c,pop
15,03dc4e02-e416-4611-8a2f-6c91b3d6c06c,folk pop
16,0408c747-8682-4117-ab2b-5ecf011fed01,rock
16,0408c747-8682-4117-ab2b-5ecf011fed01,alternative metal
16,0408c747-8682-4117-ab2b-5ecf011fed01,nu metal
16,0408c747-8682-4117-ab2b-5ecf011fed01,hard rock
17,0435f55c-d17b-4619-a91b-1d43bad1834d,
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,hip hop
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,alternative/indie rock
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,alternative metal
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,screamo
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,alternative rock
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,metalcore
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,nu metal
18,04453a82-55ad-4ed6-85f9-ca3d950a34a2,2020s
